run,step,total,t,loss_gen,loss_critic,grad_norm,normalizer,gn_gen,depth,instantaneous_s_per_it
b64_resume,2830,3000,223113,0.3052,0.1361,804.7,0.189,0.04,6,66.2
b64_resume,2840,3000,223779,0.3037,0.1339,835.5,0.237,0.04,6,66.6
b64_resume,2850,3000,224443,0.2871,0.1271,843.0,0.257,0.04,4,66.4
b64_resume,2860,3000,225109,0.2973,0.1177,817.4,0.226,0.04,6,66.6
b64_resume,2870,3000,225775,0.3065,0.1326,908.5,0.225,0.04,4,66.6
b64_resume,2880,3000,226441,0.3175,0.1324,861.3,0.228,0.04,4,66.6
b64_resume,2890,3000,227104,0.3167,0.1232,863.8,0.215,0.04,5,66.3
b64_resume,2900,3000,227768,0.3301,0.1324,862.6,0.230,0.05,4,66.4
b64_resume,2910,3000,228432,0.3329,0.1269,811.0,0.197,0.04,4,66.4
b64_resume,2920,3000,229099,0.3071,0.1279,854.0,0.240,0.04,5,66.7
b64_resume,2930,3000,229765,0.2914,0.1308,846.6,0.200,0.05,5,66.6
b64_resume,2940,3000,230428,0.2936,0.1287,910.7,0.270,0.04,6,66.3
b64_resume,2950,3000,231090,0.3166,0.1213,829.8,0.233,0.05,4,66.2
b64_resume,2960,3000,231755,0.3037,0.1211,873.2,0.265,0.05,4,66.5
b64_resume,2970,3000,232422,0.3036,0.1292,900.5,0.247,0.05,5,66.7
b64_resume,2980,3000,233086,0.3134,0.1356,844.5,0.194,0.09,6,66.4
b64_resume,2990,3000,233751,0.3005,0.1440,777.7,0.202,0.06,6,66.5
b64_resume,3000,3000,234416,0.3243,0.1431,789.5,0.194,0.05,6,66.5
b4_2h_proof,10,950,75669,nan,0.2294,nan,nan,nan,6,
b4_2h_proof,20,950,75699,nan,0.1646,nan,nan,nan,5,3.0
b4_2h_proof,30,950,75729,nan,0.2058,nan,nan,nan,5,3.0
b4_2h_proof,40,950,75759,nan,0.2149,nan,nan,nan,6,3.0
b4_2h_proof,50,950,75788,nan,0.1790,nan,nan,nan,4,2.9
b4_2h_proof,60,950,75818,nan,0.1884,nan,nan,nan,5,3.0
b4_2h_proof,70,950,75848,nan,0.1706,nan,nan,nan,5,3.0
b4_2h_proof,80,950,75879,nan,0.1737,nan,nan,nan,5,3.1
b4_2h_proof,90,950,75909,nan,0.1693,nan,nan,nan,4,3.0
b4_2h_proof,100,950,75939,nan,0.1191,nan,nan,nan,5,3.0
b4_2h_proof,110,950,75969,nan,0.1431,nan,nan,nan,6,3.0
b4_2h_proof,120,950,75999,nan,0.1327,nan,nan,nan,4,3.0
